"","ticker","zero column","date","time","open","high","low","close","vol","second zero column"
"933428","ORANGEPL",0,20200901,90001,7.295,7.295,7.295,7.295,990,0
"933429","ORANGEPL",0,20200901,90233,7.28,7.28,7.28,7.28,1623,0
"933430","ORANGEPL",0,20200901,90557,7.245,7.245,7.245,7.245,918,0
"933431","ORANGEPL",0,20200901,90959,7.28,7.28,7.28,7.28,137,0
"933432","ORANGEPL",0,20200901,91549,7.27,7.27,7.27,7.27,3635,0
"933433","ORANGEPL",0,20200901,91608,7.29,7.29,7.29,7.29,790,0
"933434","ORANGEPL",0,20200901,91835,7.29,7.29,7.29,7.29,2,0
"933435","ORANGEPL",0,20200901,92303,7.285,7.285,7.285,7.285,1287,0
"933436","ORANGEPL",0,20200901,92324,7.285,7.285,7.285,7.285,1577,0
"933437","ORANGEPL",0,20200901,92333,7.295,7.295,7.295,7.295,500,0
"933438","ORANGEPL",0,20200901,92403,7.3,7.31,7.3,7.31,1234,0
"933439","ORANGEPL",0,20200901,92623,7.31,7.31,7.31,7.31,30,0
"933440","ORANGEPL",0,20200901,93020,7.29,7.31,7.29,7.31,2864,0
"933441","ORANGEPL",0,20200901,93619,7.31,7.31,7.31,7.31,4,0
"933442","ORANGEPL",0,20200901,93958,7.28,7.28,7.27,7.27,3124,0
"933443","ORANGEPL",0,20200901,94007,7.285,7.285,7.285,7.285,137,0
"933444","ORANGEPL",0,20200901,94139,7.28,7.28,7.26,7.26,781,0
"933445","ORANGEPL",0,20200901,94142,7.275,7.275,7.255,7.255,138,0
"933446","ORANGEPL",0,20200901,94203,7.27,7.27,7.27,7.27,2662,0
"933447","ORANGEPL",0,20200901,94323,7.275,7.275,7.275,7.275,137,0
"933448","ORANGEPL",0,20200901,94619,7.27,7.27,7.27,7.27,853,0
"933449","ORANGEPL",0,20200901,94653,7.28,7.28,7.28,7.28,959,0
"933450","ORANGEPL",0,20200901,94843,7.27,7.27,7.27,7.27,2946,0
"933451","ORANGEPL",0,20200901,94915,7.27,7.27,7.265,7.265,1534,0
"933452","ORANGEPL",0,20200901,95003,7.275,7.275,7.275,7.275,1233,0
"933453","ORANGEPL",0,20200901,95932,7.26,7.26,7.26,7.26,4020,0
"933454","ORANGEPL",0,20200901,100053,7.255,7.255,7.255,7.255,853,0
"933455","ORANGEPL",0,20200901,100117,7.255,7.255,7.255,7.255,10,0
"933456","ORANGEPL",0,20200901,100147,7.26,7.26,7.26,7.26,853,0
"933457","ORANGEPL",0,20200901,100311,7.26,7.26,7.26,7.26,1381,0
"933458","ORANGEPL",0,20200901,100315,7.265,7.265,7.265,7.265,274,0
"933459","ORANGEPL",0,20200901,100421,7.26,7.26,7.26,7.26,137,0
"933460","ORANGEPL",0,20200901,100431,7.265,7.265,7.265,7.265,4824,0
"933461","ORANGEPL",0,20200901,100525,7.28,7.285,7.28,7.285,2555,0
"933462","ORANGEPL",0,20200901,100626,7.28,7.28,7.28,7.28,3084,0
"933463","ORANGEPL",0,20200901,100644,7.28,7.28,7.28,7.28,1285,0
"933464","ORANGEPL",0,20200901,100657,7.28,7.28,7.28,7.28,6014,0
"933465","ORANGEPL",0,20200901,100715,7.275,7.275,7.27,7.27,3037,0
